Day,Date,Susceptible,Exposed,Infected,Recovered,Deaths,Daily_New,Region,Population
0,2024-01-01,99679,192,321,282,5,321,Sample Region,100000
1,2024-01-02,99592,52,87,359,7,87,Sample Region,100000
2,2024-01-03,99167,255,425,733,14,425,Sample Region,100000
3,2024-01-04,98365,481,802,1438,29,802,Sample Region,100000
4,2024-01-05,98235,78,130,1553,31,130,Sample Region,100000
5,2024-01-06,98071,98,164,1697,34,164,Sample Region,100000
6,2024-01-07,97142,557,929,2515,51,929,Sample Region,100000
7,2024-01-08,96494,388,648,3085,63,648,Sample Region,100000
8,2024-01-09,96290,122,204,3264,66,204,Sample Region,100000
9,2024-01-10,95626,398,664,3849,78,664,Sample Region,100000
10,2024-01-11,95301,195,325,4135,84,325,Sample Region,100000
11,2024-01-12,94907,236,394,4481,91,394,Sample Region,100000
12,2024-01-13,94152,453,755,5146,105,755,Sample Region,100000
13,2024-01-14,94152,0,0,5146,105,0,Sample Region,100000
14,2024-01-15,94000,91,152,5280,107,152,Sample Region,100000
15,2024-01-16,93277,433,723,5916,121,723,Sample Region,100000
16,2024-01-17,92618,395,659,6496,132,659,Sample Region,100000
17,2024-01-18,91299,791,1319,7656,156,1319,Sample Region,100000
18,2024-01-19,90329,582,970,8510,174,970,Sample Region,100000
19,2024-01-20,89407,553,922,9321,190,922,Sample Region,100000
20,2024-01-21,87167,1344,2240,11293,230,2240,Sample Region,100000
21,2024-01-22,85423,1046,1744,12827,262,1744,Sample Region,100000
22,2024-01-23,83366,1234,2057,14637,299,2057,Sample Region,100000
23,2024-01-24,81696,1002,1670,16107,329,1670,Sample Region,100000
24,2024-01-25,79447,1349,2249,18086,369,2249,Sample Region,100000
25,2024-01-26,76694,1651,2753,20509,419,2753,Sample Region,100000
26,2024-01-27,74186,1504,2508,22716,464,2508,Sample Region,100000
27,2024-01-28,70792,2036,3394,25703,525,3394,Sample Region,100000
28,2024-01-29,67497,1977,3295,28602,585,3295,Sample Region,100000
29,2024-01-30,63769,2236,3728,31883,652,3728,Sample Region,100000
30,2024-01-31,59840,2357,3929,35340,722,3929,Sample Region,100000
31,2024-02-01,54587,3151,5253,39963,817,5253,Sample Region,100000
32,2024-02-02,49723,2918,4864,44243,904,4864,Sample Region,100000
33,2024-02-03,44904,2891,4819,48484,991,4819,Sample Region,100000
34,2024-02-04,38946,3574,5958,53727,1098,5958,Sample Region,100000
35,2024-02-05,33405,3324,5541,58603,1198,5541,Sample Region,100000
36,2024-02-06,26879,3915,6526,64346,1316,6526,Sample Region,100000
37,2024-02-07,20796,3649,6083,69699,1425,6083,Sample Region,100000
38,2024-02-08,14026,4062,6770,75657,1547,6770,Sample Region,100000
39,2024-02-09,6205,4692,7821,82539,1688,7821,Sample Region,100000
40,2024-02-10,0,5091,8486,90007,1841,8486,Sample Region,100000
41,2024-02-11,0,5226,8711,97672,1997,8711,Sample Region,100000
42,2024-02-12,0,5430,9051,100000,2160,9051,Sample Region,100000
43,2024-02-13,0,5659,9432,100000,2330,9432,Sample Region,100000
44,2024-02-14,0,5647,9413,100000,2499,9413,Sample Region,100000
45,2024-02-15,0,6098,10164,100000,2682,10164,Sample Region,100000
46,2024-02-16,0,6424,10707,100000,2875,10707,Sample Region,100000
47,2024-02-17,0,7047,11745,100000,3087,11745,Sample Region,100000
48,2024-02-18,0,7126,11878,100000,3300,11878,Sample Region,100000
49,2024-02-19,0,6862,11438,100000,3506,11438,Sample Region,100000
50,2024-02-20,0,7594,12658,100000,3734,12658,Sample Region,100000
51,2024-02-21,0,7644,12740,100000,3963,12740,Sample Region,100000
52,2024-02-22,0,7779,12966,100000,4197,12966,Sample Region,100000
53,2024-02-23,0,8280,13800,100000,4445,13800,Sample Region,100000
54,2024-02-24,0,8555,14259,100000,4702,14259,Sample Region,100000
55,2024-02-25,0,8688,14481,100000,4963,14481,Sample Region,100000
56,2024-02-26,0,8402,14004,100000,5215,14004,Sample Region,100000
57,2024-02-27,0,8648,14414,100000,5474,14414,Sample Region,100000
58,2024-02-28,0,8901,14835,100000,5741,14835,Sample Region,100000
59,2024-02-29,0,9133,15222,100000,6015,15222,Sample Region,100000
